,Date,Home,Away
141,2013-01-12 00:00:00,0,0
142,2013-01-12 00:00:00,0,0
143,2013-01-13 00:00:00,1,-1
144,2013-01-12 00:00:00,0,0
145,2013-01-12 00:00:00,0,0
146,2013-01-12 00:00:00,1,-1
147,2013-01-12 00:00:00,-1,1
148,2013-01-12 00:00:00,1,-1
149,2013-01-20 00:00:00,1,-1
150,2013-01-19 00:00:00,1,-1
151,2013-01-19 00:00:00,1,-1
152,2013-01-19 00:00:00,-1,1
153,2013-01-21 00:00:00,0,0
154,2013-01-19 00:00:00,1,-1
155,2013-01-20 00:00:00,0,0
156,2013-01-19 00:00:00,0,0
157,2013-01-19 00:00:00,0,0
158,2013-01-19 00:00:00,-1,1
159,2013-01-30 00:00:00,0,0
160,2013-01-29 00:00:00,-1,1
161,2013-01-30 00:00:00,1,-1
162,2013-01-30 00:00:00,0,0
163,2013-01-29 00:00:00,0,0
164,2013-01-30 00:00:00,0,0
165,2013-01-29 00:00:00,0,0
166,2013-01-29 00:00:00,0,0
167,2013-01-30 00:00:00,1,-1
168,2013-01-30 00:00:00,1,-1
169,2013-02-02 00:00:00,1,-1
170,2013-02-02 00:00:00,0,0
171,2013-02-02 00:00:00,-1,1
172,2013-02-03 00:00:00,0,0
173,2013-02-02 00:00:00,1,-1
174,2013-02-02 00:00:00,0,0
175,2013-02-02 00:00:00,1,-1
176,2013-02-03 00:00:00,-1,1
177,2013-02-02 00:00:00,1,-1
178,2013-02-02 00:00:00,0,0
179,2013-02-10 00:00:00,1,-1
180,2013-02-09 00:00:00,1,-1
181,2013-02-11 00:00:00,-1,1
182,2013-02-10 00:00:00,1,-1
183,2013-02-09 00:00:00,0,0
184,2013-02-09 00:00:00,1,-1
185,2013-02-09 00:00:00,1,-1
186,2013-02-09 00:00:00,-1,1
187,2013-02-09 00:00:00,1,-1
188,2013-02-09 00:00:00,1,-1
189,2013-02-23 00:00:00,1,-1
190,2013-02-23 00:00:00,1,-1
191,2013-02-17 00:00:00,1,-1
192,2013-02-24 00:00:00,1,-1
193,2013-02-24 00:00:00,1,-1
194,2013-02-23 00:00:00,1,-1
195,2013-02-23 00:00:00,-1,1
196,2013-02-23 00:00:00,-1,1
197,2013-02-23 00:00:00,1,-1
198,2013-02-25 00:00:00,-1,1
199,2013-03-04 00:00:00,-1,1
200,2013-03-02 00:00:00,1,-1
201,2013-03-02 00:00:00,1,-1
202,2013-03-02 00:00:00,1,-1
203,2013-03-02 00:00:00,-1,1
204,2013-03-02 00:00:00,-1,1
205,2013-03-02 00:00:00,0,0
206,2013-03-02 00:00:00,1,-1
207,2013-03-03 00:00:00,1,-1
208,2013-03-02 00:00:00,-1,1
209,2013-04-16 00:00:00,0,0
210,2013-04-17 00:00:00,-1,1
211,2013-03-10 00:00:00,1,-1
212,2013-04-17 00:00:00,1,-1
213,2013-03-10 00:00:00,1,-1
214,2013-03-09 00:00:00,0,0
215,2013-03-09 00:00:00,1,-1
216,2013-03-09 00:00:00,-1,1
217,2013-03-09 00:00:00,1,-1
218,2013-04-17 00:00:00,0,0
219,2012-08-22 00:00:00,1,-1
220,2012-09-02 00:00:00,-1,1
221,2012-09-02 00:00:00,0,0
222,2012-09-02 00:00:00,-1,1
223,2012-09-01 00:00:00,0,0
224,2012-09-01 00:00:00,0,0
225,2012-09-01 00:00:00,1,-1
226,2012-09-01 00:00:00,1,-1
227,2012-09-01 00:00:00,0,0
228,2013-03-16 00:00:00,1,-1
229,2013-03-17 00:00:00,1,-1
230,2013-03-16 00:00:00,1,-1
231,2013-03-16 00:00:00,1,-1
232,2013-03-16 00:00:00,1,-1
233,2013-03-16 00:00:00,0,0
234,2013-03-17 00:00:00,0,0
235,2013-03-16 00:00:00,-1,1
236,2013-03-17 00:00:00,-1,1
237,2013-03-17 00:00:00,1,-1
238,2013-03-30 00:00:00,1,-1
239,2013-03-31 00:00:00,-1,1
240,2013-03-30 00:00:00,1,-1
241,2013-04-01 00:00:00,1,-1
242,2013-03-30 00:00:00,1,-1
243,2013-03-30 00:00:00,1,-1
244,2013-03-30 00:00:00,-1,1
245,2013-03-30 00:00:00,-1,1
246,2013-03-30 00:00:00,1,-1
247,2013-03-30 00:00:00,1,-1
248,2013-04-07 00:00:00,1,-1
249,2013-04-07 00:00:00,0,0
250,2013-04-08 00:00:00,-1,1
251,2013-04-07 00:00:00,1,-1
252,2013-04-06 00:00:00,0,0
253,2013-04-07 00:00:00,0,0
254,2013-04-06 00:00:00,-1,1
255,2013-04-06 00:00:00,-1,1
256,2013-04-07 00:00:00,0,0
257,2013-04-06 00:00:00,-1,1
258,2013-04-13 00:00:00,1,-1
259,2013-04-13 00:00:00,0,0
260,2013-05-08 00:00:00,0,0
261,2013-04-13 00:00:00,1,-1
262,2013-05-07 00:00:00,1,-1
263,2013-04-14 00:00:00,-1,1
264,2013-04-13 00:00:00,0,0
265,2013-04-13 00:00:00,0,0
266,2013-04-14 00:00:00,-1,1
267,2013-05-07 00:00:00,-1,1
268,2013-04-20 00:00:00,-1,1
269,2013-04-21 00:00:00,0,0
270,2013-04-22 00:00:00,1,-1
271,2013-04-20 00:00:00,1,-1
272,2013-04-20 00:00:00,-1,1
273,2013-04-20 00:00:00,1,-1
274,2013-04-20 00:00:00,0,0
275,2013-04-21 00:00:00,1,-1
276,2013-04-20 00:00:00,0,0
277,2013-04-20 00:00:00,1,-1
278,2013-04-28 00:00:00,0,0
279,2013-04-29 00:00:00,1,-1
280,2013-04-28 00:00:00,1,-1
281,2013-04-27 00:00:00,1,-1
282,2013-04-27 00:00:00,1,-1
283,2013-04-27 00:00:00,-1,1
284,2013-04-28 00:00:00,0,0
285,2013-04-27 00:00:00,-1,1
286,2013-04-27 00:00:00,1,-1
287,2013-04-27 00:00:00,0,0
288,2013-05-04 00:00:00,-1,1
289,2013-05-05 00:00:00,0,0
290,2013-05-05 00:00:00,-1,1
291,2013-05-04 00:00:00,-1,1
292,2013-05-04 00:00:00,-1,1
293,2013-05-06 00:00:00,0,0
294,2013-05-04 00:00:00,0,0
295,2013-05-04 00:00:00,1,-1
296,2013-05-04 00:00:00,-1,1
297,2013-05-04 00:00:00,0,0
298,2013-05-14 00:00:00,1,-1
299,2013-05-11 00:00:00,-1,1
300,2013-05-12 00:00:00,1,-1
301,2013-05-12 00:00:00,-1,1
302,2013-05-12 00:00:00,1,-1
303,2013-05-12 00:00:00,1,-1
304,2013-05-12 00:00:00,-1,1
305,2013-05-14 00:00:00,-1,1
306,2013-05-12 00:00:00,-1,1
307,2013-05-12 00:00:00,0,0
308,2013-05-19 00:00:00,1,-1
309,2013-05-19 00:00:00,1,-1
310,2013-05-19 00:00:00,-1,1
311,2013-05-19 00:00:00,-1,1
312,2013-05-19 00:00:00,0,0
313,2013-05-19 00:00:00,-1,1
314,2013-05-19 00:00:00,1,-1
315,2013-05-19 00:00:00,0,0
316,2013-05-19 00:00:00,1,-1
317,2013-05-19 00:00:00,0,0
318,2012-09-15 00:00:00,1,-1
319,2012-09-15 00:00:00,1,-1
320,2012-09-17 00:00:00,0,0
321,2012-09-15 00:00:00,1,-1
322,2012-09-15 00:00:00,1,-1
323,2012-09-15 00:00:00,0,0
324,2012-09-15 00:00:00,0,0
325,2012-09-16 00:00:00,-1,1
326,2012-09-15 00:00:00,0,0
327,2012-09-15 00:00:00,0,0
328,2012-09-22 00:00:00,1,-1
329,2012-09-23 00:00:00,-1,1
330,2012-09-23 00:00:00,0,0
331,2012-09-23 00:00:00,1,-1
332,2012-09-22 00:00:00,1,-1
333,2012-09-22 00:00:00,-1,1
334,2012-09-23 00:00:00,1,-1
335,2012-09-22 00:00:00,1,-1
336,2012-09-22 00:00:00,0,0
337,2012-09-22 00:00:00,-1,1
338,2012-09-29 00:00:00,-1,1
339,2012-09-30 00:00:00,0,0
340,2012-09-29 00:00:00,1,-1
341,2012-09-29 00:00:00,-1,1
342,2012-09-29 00:00:00,-1,1
343,2012-09-29 00:00:00,-1,1
344,2012-10-01 00:00:00,-1,1
